STT,Mã danh mục,Danh mục,ID Danh mục,URL Danh mục,Mã sản phẩm,Sản phẩm,ID Sản phẩm,URL Sản phẩm,Số lượng file,Danh sách file (Tên),Files metadata (JSON)
1,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0001,VivoMega 8000TG Pr - Nauy,1PJhcL5clBJ1bFs4bxTyPF6voZ5gHs6vl,https://drive.google.com/drive/folders/1PJhcL5clBJ1bFs4bxTyPF6voZ5gHs6vl,1,Mô tả,"[
  {
    ""id"": ""1qpsCumFI_ozVUnk_Ts3Ebc4UfbgxstLGUi8vuag9g1E"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1qpsCumFI_ozVUnk_Ts3Ebc4UfbgxstLGUi8vuag9g1E/view"",
    ""type"": ""google-document"",
    ""size"": ""1889"",
    ""size_formatted"": ""1.8 KB"",
    ""modified"": ""2024-06-16T11:34:28.275Z""
  }
]"
2,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0002,VivoMega 6020TG Pr - Nauy,1jDwGn_y4lK_PBPd2JHlYYUQmXpaEwZfO,https://drive.google.com/drive/folders/1jDwGn_y4lK_PBPd2JHlYYUQmXpaEwZfO,1,Mô tả,"[
  {
    ""id"": ""1wZU8gPcoYtIxRZSk4P-D6fq42Qhn7rsR2IJjKeDTkkA"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1wZU8gPcoYtIxRZSk4P-D6fq42Qhn7rsR2IJjKeDTkkA/view"",
    ""type"": ""google-document"",
    ""size"": ""1782"",
    ""size_formatted"": ""1.7 KB"",
    ""modified"": ""2024-06-16T11:33:35.523Z""
  }
]"
3,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0003,VivoMega 5525TG Pr - Nauy,1xHrwdBUpB2ImOwNguvE9Wv2KVHSnkyvz,https://drive.google.com/drive/folders/1xHrwdBUpB2ImOwNguvE9Wv2KVHSnkyvz,1,Mô tả,"[
  {
    ""id"": ""12wV6mxRhvJkmo4vUxyb0qiTBELULiD3dLVXKXXWh4NQ"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/12wV6mxRhvJkmo4vUxyb0qiTBELULiD3dLVXKXXWh4NQ/view"",
    ""type"": ""google-document"",
    ""size"": ""1892"",
    ""size_formatted"": ""1.8 KB"",
    ""modified"": ""2024-06-16T11:32:24.764Z""
  }
]"
4,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0004,VivoMega 5025TG Pr - Dầu cá - Nauy,1Ab3aMvIzIFF5yP8zneZ2pAW-HfmwavAz,https://drive.google.com/drive/folders/1Ab3aMvIzIFF5yP8zneZ2pAW-HfmwavAz,1,Mô tả,"[
  {
    ""id"": ""1CfT2XbV302HSf7BKHw921rcY_DHG_07X_vl5ywLD86I"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1CfT2XbV302HSf7BKHw921rcY_DHG_07X_vl5ywLD86I/view"",
    ""type"": ""google-document"",
    ""size"": ""1898"",
    ""size_formatted"": ""1.9 KB"",
    ""modified"": ""2024-06-16T11:31:09.211Z""
  }
]"
5,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0005,VivoMega™ Algae 2050 TG Premium - Dầu tảo - Nauy,1MJMkeiMrB9KPhN21Qfm9zw_8O-X4_yP_,https://drive.google.com/drive/folders/1MJMkeiMrB9KPhN21Qfm9zw_8O-X4_yP_,3,"Mô tả, COA - VivoMega Algae 2050 TG Pr.pdf, VivoMega Algae 2050TGP-spec A52910-10 ver 2.pdf","[
  {
    ""id"": ""1Zvw7sIM8w-ZYFfWKI8cjEUoiG735cZ6j68nuBKz4fA4"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1Zvw7sIM8w-ZYFfWKI8cjEUoiG735cZ6j68nuBKz4fA4/view"",
    ""type"": ""google-document"",
    ""size"": ""2890"",
    ""size_formatted"": ""2.8 KB"",
    ""modified"": ""2024-06-16T11:29:34.977Z""
  },
  {
    ""id"": ""1RhzKZJgkJDo-ASlzL77R_1UniJ0CGVCF"",
    ""name"": ""COA - VivoMega Algae 2050 TG Pr.pdf"",
    ""url"": ""https://drive.google.com/file/d/1RhzKZJgkJDo-ASlzL77R_1UniJ0CGVCF/view"",
    ""type"": ""application/pdf"",
    ""size"": ""171794"",
    ""size_formatted"": ""167.8 KB"",
    ""modified"": ""2024-06-16T11:29:22.000Z""
  },
  {
    ""id"": ""1Vcq4QD6mElEgPQYb6WSmvW2-A42F5w0l"",
    ""name"": ""VivoMega Algae 2050TGP-spec A52910-10 ver 2.pdf"",
    ""url"": ""https://drive.google.com/file/d/1Vcq4QD6mElEgPQYb6WSmvW2-A42F5w0l/view"",
    ""type"": ""application/pdf"",
    ""size"": ""148098"",
    ""size_formatted"": ""144.6 KB"",
    ""modified"": ""2024-06-16T11:29:21.000Z""
  }
]"
6,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0006,VivoMega™ Algae 0073 TG Premium - Dầu tảo - Nauy,1qR-Fnad1rEoptRSTuA8KqQ9TLMyc06Wl,https://drive.google.com/drive/folders/1qR-Fnad1rEoptRSTuA8KqQ9TLMyc06Wl,6,"Algae oil SDS.pdf, So sánh dầu tảo VivoMega (NaUy) và NEWmega (Hà Lan).pdf, VivoMega Algae oil Presentantion 2023 [VN].pdf, VivoMega Algae 0073 TGP spec.pdf, COA - VivoMega Algae 0073 TGP.pdf, Mô tả","[
  {
    ""id"": ""1hGC-IUJFZGXd9-NpeHot79nmZXVWDQS_"",
    ""name"": ""Algae oil SDS.pdf"",
    ""url"": ""https://drive.google.com/file/d/1hGC-IUJFZGXd9-NpeHot79nmZXVWDQS_/view"",
    ""type"": ""application/pdf"",
    ""size"": ""520574"",
    ""size_formatted"": ""508.4 KB"",
    ""modified"": ""2024-06-16T11:27:21.000Z""
  },
  {
    ""id"": ""1sy_mLHXKK0MiZjpae-NhhY9Nuci9Yt00"",
    ""name"": ""So sánh dầu tảo VivoMega (NaUy) và NEWmega (Hà Lan).pdf"",
    ""url"": ""https://drive.google.com/file/d/1sy_mLHXKK0MiZjpae-NhhY9Nuci9Yt00/view"",
    ""type"": ""application/pdf"",
    ""size"": ""455493"",
    ""size_formatted"": ""444.8 KB"",
    ""modified"": ""2024-06-16T11:27:20.000Z""
  },
  {
    ""id"": ""1nyOPbS7V8eIqhR3_CdfHDoHqukSYJYWp"",
    ""name"": ""VivoMega Algae oil Presentantion 2023 [VN].pdf"",
    ""url"": ""https://drive.google.com/file/d/1nyOPbS7V8eIqhR3_CdfHDoHqukSYJYWp/view"",
    ""type"": ""application/pdf"",
    ""size"": ""2050381"",
    ""size_formatted"": ""2.0 MB"",
    ""modified"": ""2024-06-16T11:27:17.000Z""
  },
  {
    ""id"": ""1QMS3R8t_23tX_NSRou24pNaUt6Sn2owM"",
    ""name"": ""VivoMega Algae 0073 TGP spec.pdf"",
    ""url"": ""https://drive.google.com/file/d/1QMS3R8t_23tX_NSRou24pNaUt6Sn2owM/view"",
    ""type"": ""application/pdf"",
    ""size"": ""148421"",
    ""size_formatted"": ""144.9 KB"",
    ""modified"": ""2024-06-16T11:27:14.000Z""
  },
  {
    ""id"": ""1-Cpe7yNUnDAM8i62_6Ti0P4qSWHVwWw6"",
    ""name"": ""COA - VivoMega Algae 0073 TGP.pdf"",
    ""url"": ""https://drive.google.com/file/d/1-Cpe7yNUnDAM8i62_6Ti0P4qSWHVwWw6/view"",
    ""type"": ""application/pdf"",
    ""size"": ""519332"",
    ""size_formatted"": ""507.2 KB"",
    ""modified"": ""2024-06-16T11:27:13.000Z""
  },
  {
    ""id"": ""1Hhvj_GGJ4cmlfzuI7pDnju4D4Eubilb5kJp1TGnpZtE"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1Hhvj_GGJ4cmlfzuI7pDnju4D4Eubilb5kJp1TGnpZtE/view"",
    ""type"": ""google-document"",
    ""size"": ""2906"",
    ""size_formatted"": ""2.8 KB"",
    ""modified"": ""2024-06-16T11:27:05.941Z""
  }
]"
7,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0007,VivoMega™ Algae 0070 TG Premium - Dầu tảo - Nauy,1lXVRefhOYxTip1wAYpCjsRSFHyztBUlK,https://drive.google.com/drive/folders/1lXVRefhOYxTip1wAYpCjsRSFHyztBUlK,7,"Mô tả, Algae Launch A4 Flyer v6 (Email).pdf, 049864 VivoMega Algae 0070 TG Premium, ver.6.pdf, So sánh dầu tảo VivoMega (NaUy) và NEWmega (Hà Lan).pdf, VivoMega Algae oil Presentantion 2023 [VN].pdf, VivoMega Algae 0070 TGP spec.pdf, COA - VivoMega Algae 0070 TGP.pdf","[
  {
    ""id"": ""13S4slRMdDg8wf_g0hxgtuPE5uuCTrV8q1YwwsZSvAnw"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/13S4slRMdDg8wf_g0hxgtuPE5uuCTrV8q1YwwsZSvAnw/view"",
    ""type"": ""google-document"",
    ""size"": ""4858"",
    ""size_formatted"": ""4.7 KB"",
    ""modified"": ""2024-06-16T11:25:24.387Z""
  },
  {
    ""id"": ""1C74k-GxQRD6qRFbIOdQRz_KPeSK6vrJv"",
    ""name"": ""Algae Launch A4 Flyer v6 (Email).pdf"",
    ""url"": ""https://drive.google.com/file/d/1C74k-GxQRD6qRFbIOdQRz_KPeSK6vrJv/view"",
    ""type"": ""application/pdf"",
    ""size"": ""1442209"",
    ""size_formatted"": ""1.4 MB"",
    ""modified"": ""2024-06-16T11:24:41.000Z""
  },
  {
    ""id"": ""1Qk4EBaulNuhPnfPNJQZvYS4K7H7pN4rH"",
    ""name"": ""049864 VivoMega Algae 0070 TG Premium, ver.6.pdf"",
    ""url"": ""https://drive.google.com/file/d/1Qk4EBaulNuhPnfPNJQZvYS4K7H7pN4rH/view"",
    ""type"": ""application/pdf"",
    ""size"": ""481405"",
    ""size_formatted"": ""470.1 KB"",
    ""modified"": ""2024-06-16T11:24:39.000Z""
  },
  {
    ""id"": ""1tW392rGXMzaB88bIpXGAJYqkLRmBGWNZ"",
    ""name"": ""So sánh dầu tảo VivoMega (NaUy) và NEWmega (Hà Lan).pdf"",
    ""url"": ""https://drive.google.com/file/d/1tW392rGXMzaB88bIpXGAJYqkLRmBGWNZ/view"",
    ""type"": ""application/pdf"",
    ""size"": ""455493"",
    ""size_formatted"": ""444.8 KB"",
    ""modified"": ""2024-06-16T11:24:35.000Z""
  },
  {
    ""id"": ""1JLjRuiIa5cVodln1fqDzWmJ_wfUh2FyN"",
    ""name"": ""VivoMega Algae oil Presentantion 2023 [VN].pdf"",
    ""url"": ""https://drive.google.com/file/d/1JLjRuiIa5cVodln1fqDzWmJ_wfUh2FyN/view"",
    ""type"": ""application/pdf"",
    ""size"": ""2050381"",
    ""size_formatted"": ""2.0 MB"",
    ""modified"": ""2024-06-16T11:24:34.000Z""
  },
  {
    ""id"": ""1-n0G55dP3m0EBD571FaEFx3TDivkcYMx"",
    ""name"": ""VivoMega Algae 0070 TGP spec.pdf"",
    ""url"": ""https://drive.google.com/file/d/1-n0G55dP3m0EBD571FaEFx3TDivkcYMx/view"",
    ""type"": ""application/pdf"",
    ""size"": ""201105"",
    ""size_formatted"": ""196.4 KB"",
    ""modified"": ""2024-06-16T11:24:31.000Z""
  },
  {
    ""id"": ""1LF3idIJVRygZyd8cnlg8LEdzTUoWyW8Q"",
    ""name"": ""COA - VivoMega Algae 0070 TGP.pdf"",
    ""url"": ""https://drive.google.com/file/d/1LF3idIJVRygZyd8cnlg8LEdzTUoWyW8Q/view"",
    ""type"": ""application/pdf"",
    ""size"": ""496752"",
    ""size_formatted"": ""485.1 KB"",
    ""modified"": ""2024-06-16T11:24:30.000Z""
  }
]"
8,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0008,VivoMega™ Algae 0040 TG Premium - Dầu tảo Nauy,1DRcPsMTrsqpR98lc_9BRyhss4AfbI0ui,https://drive.google.com/drive/folders/1DRcPsMTrsqpR98lc_9BRyhss4AfbI0ui,6,"Algae oil SDS.pdf, So sánh dầu tảo VivoMega (NaUy) và NEWmega (Hà Lan).pdf, VivoMega Algae 0040 TGP spec.pdf, VivoMega Algae oil Presentantion 2023 [VN].pdf, COA - VivoMega Algae 0040 TGP.pdf, Mô tả","[
  {
    ""id"": ""1xP4N2zMP_H5_cS-pa9tGLe_h9wI8W3SQ"",
    ""name"": ""Algae oil SDS.pdf"",
    ""url"": ""https://drive.google.com/file/d/1xP4N2zMP_H5_cS-pa9tGLe_h9wI8W3SQ/view"",
    ""type"": ""application/pdf"",
    ""size"": ""520574"",
    ""size_formatted"": ""508.4 KB"",
    ""modified"": ""2024-06-16T11:22:53.000Z""
  },
  {
    ""id"": ""1_HUd74wle253_IyIHqbqe0zlT62KWig5"",
    ""name"": ""So sánh dầu tảo VivoMega (NaUy) và NEWmega (Hà Lan).pdf"",
    ""url"": ""https://drive.google.com/file/d/1_HUd74wle253_IyIHqbqe0zlT62KWig5/view"",
    ""type"": ""application/pdf"",
    ""size"": ""455493"",
    ""size_formatted"": ""444.8 KB"",
    ""modified"": ""2024-06-16T11:22:46.000Z""
  },
  {
    ""id"": ""1JXYVI15Y-9d_LeyXD-8gFQVs3KrQnJ31"",
    ""name"": ""VivoMega Algae 0040 TGP spec.pdf"",
    ""url"": ""https://drive.google.com/file/d/1JXYVI15Y-9d_LeyXD-8gFQVs3KrQnJ31/view"",
    ""type"": ""application/pdf"",
    ""size"": ""200817"",
    ""size_formatted"": ""196.1 KB"",
    ""modified"": ""2024-06-16T11:22:42.000Z""
  },
  {
    ""id"": ""19fQf_H1CYsYfPeEUjPZLQ3ujCca2_sBM"",
    ""name"": ""VivoMega Algae oil Presentantion 2023 [VN].pdf"",
    ""url"": ""https://drive.google.com/file/d/19fQf_H1CYsYfPeEUjPZLQ3ujCca2_sBM/view"",
    ""type"": ""application/pdf"",
    ""size"": ""2050381"",
    ""size_formatted"": ""2.0 MB"",
    ""modified"": ""2024-06-16T11:22:41.000Z""
  },
  {
    ""id"": ""1HU2--BuaIQQTLDl1kM7yyJcuSx1rv18h"",
    ""name"": ""COA - VivoMega Algae 0040 TGP.pdf"",
    ""url"": ""https://drive.google.com/file/d/1HU2--BuaIQQTLDl1kM7yyJcuSx1rv18h/view"",
    ""type"": ""application/pdf"",
    ""size"": ""163640"",
    ""size_formatted"": ""159.8 KB"",
    ""modified"": ""2024-06-16T11:22:39.000Z""
  },
  {
    ""id"": ""1tZD8JpuZHu_nTimoCDH9H_2Nwkrb5cxhLZnnRJPYp4U"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1tZD8JpuZHu_nTimoCDH9H_2Nwkrb5cxhLZnnRJPYp4U/view"",
    ""type"": ""google-document"",
    ""size"": ""4344"",
    ""size_formatted"": ""4.2 KB"",
    ""modified"": ""2024-06-16T11:22:01.931Z""
  }
]"
9,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0009,VivoMega™ 0070TG Pr - Nauy,1bA4vFTsZiKxaJBwq2IX-jL_BNra6RWDk,https://drive.google.com/drive/folders/1bA4vFTsZiKxaJBwq2IX-jL_BNra6RWDk,4,"Mô tả, VivoMega 0070 TG Premium - spec 70912-10 - rev 5.pdf, 0000044891 70912-10 VivoMega 0070 TG Premium, rev.5.pdf, Analythical Methods overview (1).pdf","[
  {
    ""id"": ""1Zqv_J7tZ2LkAW6ArhtVRVOq2NCU9Anh0T0DRfMsRgO0"",
    ""name"": ""Mô tả"",
    ""url"": ""https://drive.google.com/file/d/1Zqv_J7tZ2LkAW6ArhtVRVOq2NCU9Anh0T0DRfMsRgO0/view"",
    ""type"": ""google-document"",
    ""size"": ""1185"",
    ""size_formatted"": ""1.2 KB"",
    ""modified"": ""2024-06-16T11:20:33.995Z""
  },
  {
    ""id"": ""1F1FexTN6xq1ZJSGhWPI3q50WKHV-Cid5"",
    ""name"": ""VivoMega 0070 TG Premium - spec 70912-10 - rev 5.pdf"",
    ""url"": ""https://drive.google.com/file/d/1F1FexTN6xq1ZJSGhWPI3q50WKHV-Cid5/view"",
    ""type"": ""application/pdf"",
    ""size"": ""148540"",
    ""size_formatted"": ""145.1 KB"",
    ""modified"": ""2024-06-16T11:20:20.000Z""
  },
  {
    ""id"": ""1YWaVJhHvkYgDqPdjGQZeqbMam0BOpSWb"",
    ""name"": ""0000044891 70912-10 VivoMega 0070 TG Premium, rev.5.pdf"",
    ""url"": ""https://drive.google.com/file/d/1YWaVJhHvkYgDqPdjGQZeqbMam0BOpSWb/view"",
    ""type"": ""application/pdf"",
    ""size"": ""1173841"",
    ""size_formatted"": ""1.1 MB"",
    ""modified"": ""2024-06-16T11:20:19.000Z""
  },
  {
    ""id"": ""1KgTi6ChlGM5S62njxsuR_qbhKSeo0SvM"",
    ""name"": ""Analythical Methods overview (1).pdf"",
    ""url"": ""https://drive.google.com/file/d/1KgTi6ChlGM5S62njxsuR_qbhKSeo0SvM/view"",
    ""type"": ""application/pdf"",
    ""size"": ""137995"",
    ""size_formatted"": ""134.8 KB"",
    ""modified"": ""2024-06-16T11:20:17.000Z""
  }
]"
10,DM001,VIVOMEGA - OMEGA 3,1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,https://drive.google.com/drive/folders/1Y8NRz-OdGWwASKf7PuJTjeiw-YgdGzkx,SP0010,VivoMega™ 3322 TG60,1Bb7s7gJ5ZD0SLrH2kARWWI-VQ5NTT9J-,https://drive.google.com/drive/folders/1Bb7s7gJ5ZD0SLrH2kARWWI-VQ5NTT9J-,1,VivoMega 3322 TG60_COA.pdf,"[
  {
    ""id"": ""10-3Ja9UaQVhhjOUr8ci_81qipgZezLkm"",
    ""name"": ""VivoMega 3322 TG60_COA.pdf"",
    ""url"": ""https://drive.google.com/file/d/10-3Ja9UaQVhhjOUr8ci_81qipgZezLkm/view"",
    ""type"": ""application/pdf"",
    ""size"": ""747503"",
    ""size_formatted"": ""730.0 KB"",
    ""modified"": ""2024-06-16T11:19:17.000Z""
  }
]"
